"burnout","MAS_b","MAS_c","MAS_abc","work_hours","age","job_satisfaction","resilience_simple","permanent","stressful_workplace","support_satisfaction","qual","gender"
3.428571429,2.333333333,1.75,2.737301587,50,49,3.6,"resilience","permanent","stressful","not satisfied","1","1"
2.142857143,2,2.75,2.664285714,40,30,3.65,"no resilience","short-term contract","stressful","satisfied","1","1"
1.714285714,1.666666667,1.25,1.71031746,45,46,3.35,"resilience","short-term contract","not stressful","not satisfied","0","0"
4.428571429,3.166666667,1.5,3.231746032,75,28,3.05,"no resilience","short-term contract","stressful","not satisfied","0","0"
1.857142857,1.333333333,1.75,1.88015873,40,64,3.75,"resilience","permanent","stressful","satisfied","0","0"
2.428571429,2.333333333,2.625,2.812301587,70,49,3.55,"resilience","short-term contract","stressful","satisfied","0","0"
5.714285714,4.166666667,1.75,4.11031746,48,55,NA,"resilience",NA,"stressful","not satisfied","1","0"
6.142857143,6.666666667,2.75,5.553174603,40,33,3.1,"no resilience","permanent","stressful","not satisfied","1","0"
4.285714286,2.833333333,1.75,3.18968254,65,55,2.7,"resilience","permanent","stressful","not satisfied","1","0"
1.714285714,1.166666667,1.5,1.66031746,38,60,3.15,"resilience","permanent","stressful","not satisfied","1","0"
6.142857143,6.333333333,3.5,5.792063492,50,64,2.1,"resilience","permanent","stressful","not satisfied","1","0"
4.714285714,2.833333333,3.125,3.974206349,60,57,2.4,"no resilience","short-term contract","stressful","not satisfied","1","0"
1.857142857,1.5,2.125,2.110714286,52,68,3.95,"resilience","permanent","not stressful","satisfied","1","0"
6,3.333333333,1.75,3.927777778,55,54,3.25,"resilience","permanent","stressful","satisfied","1","0"
3.285714286,3.833333333,1.125,2.898015873,60,57,3.65,"resilience","permanent","stressful","satisfied","1","0"
4.714285714,2.5,2.5,3.571428571,60,64,3.55,"resilience","permanent","stressful","satisfied","1","0"
1.571428571,2,1,1.657142857,70,59,4.1,"resilience","permanent","not stressful","not satisfied","0","1"
1.857142857,2.166666667,1.125,1.866269841,40,59,2.5,"resilience","permanent","not stressful","not satisfied","0","1"
5,5.5,2.25,4.55,40,37,2.65,"no resilience","permanent","stressful","not satisfied","0","1"
2.714285714,4,3,3.638095238,55,43,3,"no resilience","permanent","stressful","not satisfied","0","1"
3.857142857,2.666666667,2.125,3.166269841,63,53,3.1,"no resilience","permanent","stressful","not satisfied","0","1"
4.285714286,4,1.25,3.345238095,55,55,2.7,"no resilience","permanent","stressful","not satisfied","0","1"
3.428571429,1.666666667,1.375,2.340079365,50,43,3.05,"resilience","permanent","stressful","not satisfied","0","1"
3.285714286,1.666666667,1,2.117460317,65,45,3.45,"resilience","permanent","stressful","not satisfied","0","1"
5.857142857,5.833333333,2.125,4.888492063,60,45,2.3,"resilience","permanent","stressful","not satisfied","0","1"
4.857142857,2,2.75,3.569047619,30,45,3.4,"resilience","permanent","stressful","not satisfied","0","1"
3.142857143,1.333333333,1.875,2.367063492,40,46,1.7,"resilience","permanent","stressful","not satisfied","0","1"
4.571428571,3.166666667,1.75,3.396031746,47,48,2.7,"resilience","permanent","stressful","not satisfied","0","1"
5.142857143,2.5,1.875,3.422619048,60,49,2.8,"resilience","permanent","stressful","not satisfied","0","1"
NA,1.833333333,NA,NA,38,50,3.25,"resilience","permanent","stressful","not satisfied","0","1"
5.714285714,3.333333333,1.625,3.774206349,70,50,3.6,"resilience","permanent","stressful","not satisfied","0","1"
5,1.666666667,1.75,3.038888889,68,52,3.35,"resilience","permanent","stressful","not satisfied","0","1"
NA,NA,NA,NA,50,55,NA,"resilience","permanent","stressful","not satisfied","0","1"
4.142857143,2.166666667,1.125,2.628174603,28,57,3.3,"resilience","permanent","stressful","not satisfied","0","1"
4,3.333333333,2.625,3.669444444,40,59,3.2,"resilience","permanent","stressful","not satisfied","0","1"
2,1.833333333,1.125,1.802777778,55,61,3.25,"resilience","permanent","stressful","not satisfied","0","1"
3.285714286,1.5,1.25,2.178571429,60,61,3.35,"resilience","permanent","stressful","not satisfied","0","1"
2.428571429,1.5,NA,NA,40,57,3.25,"resilience","short-term contract","stressful","not satisfied","0","1"
3.285714286,2,1,2.228571429,45,59,3.95,NA,"permanent",NA,"satisfied","0","1"
2.142857143,1.833333333,1.375,1.967063492,50,60,3.25,"resilience","permanent","not stressful","satisfied","0","1"
2.285714286,3.666666667,1.875,2.859126984,45,50,3.65,"no resilience","permanent","stressful","satisfied","0","1"
4.714285714,3.5,1.625,3.496428571,50,56,3.5,"no resilience","permanent","stressful","satisfied","0","1"
3.285714286,1.666666667,1.25,2.234126984,60,NA,3.9,"resilience","permanent","stressful","satisfied","0","1"
4.571428571,1.833333333,2.875,3.476587302,45,42,3.25,"resilience","permanent","stressful","satisfied","0","1"
3.714285714,3,1.5,2.938095238,45,46,3,"resilience","permanent","stressful","satisfied","0","1"
2.428571429,2.833333333,1.375,2.395634921,45,37,3.9,"resilience","permanent","stressful","satisfied","0","1"
2.571428571,1.333333333,1.5,2.001587302,50,43,3.1,"resilience","permanent","stressful","satisfied","0","1"
3.142857143,2.666666667,2,2.86984127,55,38,4.25,"resilience","short-term contract","stressful","satisfied","0","1"
1.857142857,1.666666667,1.5,1.874603175,50,50,3.85,"resilience","permanent","not stressful","not satisfied","1","1"
2.285714286,2.5,1.375,2.236904762,60,57,3.8,"resilience","permanent","not stressful","not satisfied","1","1"
4.285714286,2.666666667,2.125,3.309126984,42,51,3.5,NA,"permanent","stressful","not satisfied","1","1"
3.857142857,4.166666667,2.875,4.016269841,54,NA,2.8,"no resilience","permanent","stressful","not satisfied","1","1"
6.428571429,6.333333333,2.375,5.362301587,50,48,1.65,"no resilience","permanent","stressful","not satisfied","1","1"
3.142857143,2.166666667,2.625,2.99484127,50,50,2.4,"no resilience","permanent","stressful","not satisfied","1","1"
5.714285714,5.833333333,1.25,4.432539683,50,50,2.9,"no resilience","permanent","stressful","not satisfied","1","1"
5.571428571,5.666666667,3.125,5.204365079,60,55,2.45,"no resilience","permanent","stressful","not satisfied","1","1"
5.857142857,3.5,3.5,4.752380952,45,56,2.4,"no resilience","permanent","stressful","not satisfied","1","1"
4.142857143,1.666666667,1,2.403174603,40,60,3.2,"no resilience","permanent","stressful","not satisfied","1","1"
